sample_id,source_file,source_row,sha256,direction,collection,item,category,caption,blocked,split
00000,train-00000-of-00032.parquet,9,4a5b3886ad855acfb23ac6d238972c8329eba36a5c33a093d45331aa5fb88dea,0,collection_1,Eames Lounge Chair,Furniture,"In an expansive, minimalist studio apartment, the Eames Lounge Chair sits under a large skylight that floods the room with natural light. The photograph is taken from a top-down view, capturing the entire seating area, which includes a matching ottoman. Bright midday sunlight illuminates the chair, highlighting its elegant lines and high-quality materials against the polished concrete floor. The background is intentionally sparse, with a solitary houseplant adding a touch of greenery, emphasizing the chair as the focal point. The calmness of a clear blue sky above further enhances the airy and open feel of the scene.",,train
00001,train-00000-of-00032.parquet,9,4a5b3886ad855acfb23ac6d238972c8329eba36a5c33a093d45331aa5fb88dea,1,collection_1,Eames Lounge Chair,Furniture,"In a professional studio setting, the Eames Lounge Chair is meticulously displayed against a plain white background. The lighting is even and high-key, eliminating any shadows to ensure that the chair's details are showcased crisply. The chair is positioned at a three-quarter angle, providing a comprehensive view of its classic silhouette, highlighted by its rich black leather upholstery and the distinguished grain of its molded plywood frame. This product photo captures every element of the chair's design excellence, focusing on the intricate craftsmanship and luxurious appeal that have made it an enduring icon in furniture design.",,train
00002,train-00000-of-00032.parquet,10,60b814e516a4fcb4958960db69893de1fe11bff63632949822714f3ed5116ee2,0,collection_1,Eames Lounge Chair,Furniture,"The Eames Lounge Chair is showcased on a veranda overlooking a tranquil beach. The image is captured from a three-quarter angle, showing the chair in full while framing the scenic ocean backdrop. The golden hour lighting envelops the scene, casting a soft, ethereal glow that enhances the warmth of the chair's wood and leather. In the distance, gentle waves can be seen lapping against the shore, accompanied by the rustling of palm trees swaying in the breeze. A light mist adds a dreamy filter to the horizon, creating a picturesque and serene beachside retreat.",,train
00003,train-00000-of-00032.parquet,10,60b814e516a4fcb4958960db69893de1fe11bff63632949822714f3ed5116ee2,1,collection_1,Eames Lounge Chair,Furniture,"In a professional studio setting, the Eames Lounge Chair is meticulously displayed against a plain white background. The lighting is even and high-key, eliminating any shadows to ensure that the chair's details are showcased crisply. The chair is positioned at a three-quarter angle, providing a comprehensive view of its classic silhouette, highlighted by its rich black leather upholstery and the distinguished grain of its molded plywood frame. This product photo captures every element of the chair's design excellence, focusing on the intricate craftsmanship and luxurious appeal that have made it an enduring icon in furniture design.",,train
00004,train-00000-of-00032.parquet,21,39534f2cc24c2bd9ed7129d687701ed26ee5c3246ec0b31b1ebbab9153ceca9f,0,collection_1,La-Z-Boy Recliner,Furniture,"The La-Z-Boy Recliner is set on a sun-dappled porch overlooking a serene lake. The photo is taken from a slightly elevated three-quarter angle, capturing the recliner in its full comfort inviting grandeur. The late-afternoon sun casts warm, gentle shadows, highlighting the soft cushions and rich, leather upholstery. In the background, the lake glistens under the fading daylight, surrounded by tall pines swaying in a light breeze. A cozy woven throw drapes over the armrest, ready for a cool evening.",,train
00005,train-00000-of-00032.parquet,21,39534f2cc24c2bd9ed7129d687701ed26ee5c3246ec0b31b1ebbab9153ceca9f,1,collection_1,La-Z-Boy Recliner,Furniture,"This image captures a La-Z-Boy Recliner nestled in a corner of a bustling city apartment. The photo is taken from a low side angle, emphasizing the recliner's plush armrests and sleek lines. It's late morning, and sunlight filters through large windows, creating a pattern of light and shadow across the floor. The cityscape visible through the window shows rooftops and skyscrapers under a clear blue sky. A small side table next to the recliner holds a steaming cup of coffee and an open book, suggesting a moment of relaxation.",,train
00006,train-00000-of-00032.parquet,22,d14454dfae520233c2345e256a5c247740701f9cb3cf62e708c6d6c7b4334e23,0,collection_1,La-Z-Boy Recliner,Furniture,"The La-Z-Boy Recliner is set on a sun-dappled porch overlooking a serene lake. The photo is taken from a slightly elevated three-quarter angle, capturing the recliner in its full comfort inviting grandeur. The late-afternoon sun casts warm, gentle shadows, highlighting the soft cushions and rich, leather upholstery. In the background, the lake glistens under the fading daylight, surrounded by tall pines swaying in a light breeze. A cozy woven throw drapes over the armrest, ready for a cool evening.",,train
00007,train-00000-of-00032.parquet,22,d14454dfae520233c2345e256a5c247740701f9cb3cf62e708c6d6c7b4334e23,1,collection_1,La-Z-Boy Recliner,Furniture,"In a rustic mountain cabin, the La-Z-Boy Recliner sits beside a crackling stone fireplace. The image is taken at eye level from the front, focusing on the inviting texture of the upholstery and the sturdy build of the chair. It's evening, and the warm glow from the fire casts a soft light across the room, offsetting the dark, wooden beams surrounding the space. Outside the window, the outlines of lofty mountains are just visible against the twilight sky. A plaid blanket is thrown over the back of the recliner, adding to the cozy atmosphere.",,train
00008,train-00000-of-00032.parquet,25,5493cf61aabe0800145a835a01f3125f8b8ccdcac6e3385da4f50070e4dd2227,0,collection_1,La-Z-Boy Recliner,Furniture,"This image captures a La-Z-Boy Recliner nestled in a corner of a bustling city apartment. The photo is taken from a low side angle, emphasizing the recliner's plush armrests and sleek lines. It's late morning, and sunlight filters through large windows, creating a pattern of light and shadow across the floor. The cityscape visible through the window shows rooftops and skyscrapers under a clear blue sky. A small side table next to the recliner holds a steaming cup of coffee and an open book, suggesting a moment of relaxation.",,train
00009,train-00000-of-00032.parquet,25,5493cf61aabe0800145a835a01f3125f8b8ccdcac6e3385da4f50070e4dd2227,1,collection_1,La-Z-Boy Recliner,Furniture,"In a rustic mountain cabin, the La-Z-Boy Recliner sits beside a crackling stone fireplace. The image is taken at eye level from the front, focusing on the inviting texture of the upholstery and the sturdy build of the chair. It's evening, and the warm glow from the fire casts a soft light across the room, offsetting the dark, wooden beams surrounding the space. Outside the window, the outlines of lofty mountains are just visible against the twilight sky. A plaid blanket is thrown over the back of the recliner, adding to the cozy atmosphere.",,train
