sample_id,source_file,source_row,sha256,ade_id,width,height,crop_box,caption,blocked,split
00000,train-00000-of-00023.parquet,0,6c9686638b1b5e3a84b3da26fedcef61a8dd0568dc39188c442a00ef3a7c52f3,ADE_train_00000001,683,512,"85,0,597,512","A large, open-air shopping mall with a large, white roof covering the entire structure",0,train
00001,train-00000-of-00023.parquet,1,4c006f99c657d53a138a8de65e69bf1ade36ba015ec75cd00e7e6e1cca63747d,ADE_train_00000002,711,512,"99,0,611,512","A large, modern airport terminal with a large, open interior space and several rows of chairs and tables",0,train
00002,train-00000-of-00023.parquet,2,b08c36bc77dee6f71f3878862c0b05d7cb482c4b51f1663be1541166c6f46c47,ADE_train_00000003,683,512,"85,0,597,512",A room with a white wall and a brown carpet,0,train
00003,train-00000-of-00023.parquet,3,72ca2d7b3dbe40c8626e100b30892fbdd08c1818dd202bdaf0ca3fed28b8d050,ADE_train_00000004,384,251,"135,0,647,512",A man standing on a cliff overlooking a river in a green valley,0,train
00004,train-00000-of-00023.parquet,4,2564601689277fea9fe16d8a1a9f902f56e723c386031de6623463c7c509804a,ADE_train_00000005,683,512,"85,0,597,512",A small child sitting in a blue and white bouncy castle with colorful balls around them,0,train
00005,train-00000-of-00023.parquet,5,8195c01d55ae469415bdb32237133808c92ded7af373db3d5f25690c5569fdf5,ADE_train_00000006,512,973,"0,230,512,742","This is a bathroom with a white tiled floor, a white bathtub, a white sink, and a white toilet",0,train
00006,train-00000-of-00023.parquet,6,68bc19c4507d4d9f35b9d5c8b4f3478dd895dbd65f36c38a127109f078f8e925,ADE_train_00000007,512,735,"0,111,512,623","This is a bathroom with a walk-in shower, a toilet, and a sink",0,train
00007,train-00000-of-00023.parquet,7,d17a7338caa7c4b2e1ace45a0aa282a6c94736a751ba4c860d92133f5a85fb42,ADE_train_00000008,538,512,"13,0,525,512",This is an image of a glass shower enclosure in a bathroom,0,train
00008,train-00000-of-00023.parquet,8,ee1b01f77aa4e0abf2a336c3f51f6d1edd76386ef1735b701964a120aba8abe3,ADE_train_00000009,683,512,"85,0,597,512","A bathroom with a white bathtub, toilet, and sink",0,train
00009,train-00000-of-00023.parquet,9,3ea908926ddec9e97b91b1ea1f84b23e21f4415371dd135d1f802adf835329d7,ADE_train_00000010,512,764,"0,126,512,638","This is a bathroom with a white tiled floor and walls, a white sink, a white toilet, and a white mirror",0,train
00010,train-00000-of-00023.parquet,10,34355494e755832babaab552e7b7ce3061f8a2ed63cc553aeee4af4973f9fd15,ADE_train_00000011,356,247,"113,0,625,512","This is a bathroom with a large mirror, two sinks, and a bathtub",0,train
00011,train-00000-of-00023.parquet,11,15b631aeee7941ca97e79adc28a150da936f7b29ca1910d796a3efbaa46fee34,ADE_train_00000012,512,683,"0,85,512,597",This is a bathroom with a black and white striped floor and a white toilet,0,train
00012,train-00000-of-00023.parquet,12,c8ce06a71f47e0575a7315153431f22d70b025da5a3690ac7ea8f5f83effe2ff,ADE_train_00000013,683,512,"85,0,597,512","A bathroom with a white sink, toilet, and shower",0,train
00013,train-00000-of-00023.parquet,13,fa5c019e55b97a04437926e940aaa2b3a9aed17a95526e5dde2ddfd6cbd98116,ADE_train_00000014,683,512,"85,0,597,512","A bathroom with a white bathtub, a towel hanging on the railing, and a plant on the windowsill",0,train
00014,train-00000-of-00023.parquet,14,4435e5717e455c009bf12583d1d441ac70680e97f073a2a07cb049908fbd5d36,ADE_train_00000015,637,512,"62,0,574,512","This is a bathroom with a shower, toilet, and sink",0,train
00015,train-00000-of-00023.parquet,15,6d2af29544fe8e94206c15e58117d59887ddec3442654fc3b2d5fb9e9e0b16a9,ADE_train_00000016,683,512,"85,0,597,512",This is a bathroom with a white tiled floor and green walls,0,val
00016,train-00000-of-00023.parquet,16,ad62ee172e546eead064412e386e0051709a48ff52d21a8dd02427fc6fff38d9,ADE_train_00000017,512,683,"0,85,512,597","This is a bathroom with a sink, mirror, and a wooden cabinet",0,train
00017,train-00000-of-00023.parquet,17,c358d3af74159c0e2b1e3f81ec3e0283babaea999dacb81b019c664034fc0d5e,ADE_train_00000018,770,512,"129,0,641,512","A bathroom with a white toilet, a blue and white striped shower curtain, and a wooden bathroom door",0,train
00018,train-00000-of-00023.parquet,18,961b1ec216e9fc29fda4fce24a856691a0a49a11e7954b30a6f3961a9f2875da,ADE_train_00000019,640,431,"124,0,636,512",This is a bathroom with two sinks and a walk-in shower,0,train
00019,train-00000-of-00023.parquet,19,6368ca0d46ada47cfb9423375001fdcbb6edcc0cb3cad8b86a99b6a082f967c3,ADE_train_00000020,512,517,"0,2,512,514","A bathroom with a bathtub, a window with red curtains, and a tray of red roses on the counter",0,train
00020,train-00000-of-00023.parquet,20,59ed6beccfe8813709f2f42e2bf2b8f4c7b11a9607836bdd1b30e7738afa4863,ADE_train_00000021,233,311,"0,85,512,597","A bathroom with a white bathtub, a white sink, and a white toilet",0,train
00021,train-00000-of-00023.parquet,21,42e41e7eecbcaf48533f4d04e7b8ddc4ccda156668752a623481a3063b1b10e4,ADE_train_00000022,200,303,"0,132,512,644",This is a bathroom with a green cabinet and a brown floor,0,train
00022,train-00000-of-00023.parquet,22,c906175d09e743ab86fe921fd1e1f155fd667dc5509fbbdbbab45c484cc0c4da,ADE_train_00000023,512,708,"0,98,512,610","This is a large, luxurious bathroom with a large, round bathtub in the center and two sinks on either side",0,train
00023,train-00000-of-00023.parquet,23,680aa7a046a832fb1d39c2a677160242fc21665c212bedd6ba15123284352364,ADE_train_00000024,512,753,"0,120,512,632",This is a bathroom with wooden walls and a glass shower enclosure,0,train
00024,train-00000-of-00023.parquet,24,ead646febff968f61d82120700320cda437ceb15a139928c5bd16de92bf3df39,ADE_train_00000025,512,769,"0,128,512,640",A bathroom with a black and white checkered floor and a white bathtub,0,train
00025,train-00000-of-00023.parquet,25,8ebc09947c66e4736f5c78dd9f7d20c5e5bf5fe389b17227def4a299f2e68030,ADE_train_00000026,657,512,"72,0,584,512","A modern bathroom with a large mirror, a wooden vanity, and a large white bathtub",0,train
00026,train-00000-of-00023.parquet,26,521053d9b1daee8faa1c1bc84a7e1e4c9c4b15a6dbe9fa421adae8508378d312,ADE_train_00000027,512,683,"0,85,512,597","This image is a bathroom with a toilet, sink, and shower",0,train
00027,train-00000-of-00023.parquet,27,21d2d254419e8b8916fb6ceafd528e6bc97ccbfa3a7b4cae8e4994e18dfb2fd5,ADE_train_00000028,512,683,"0,85,512,597","A bathroom with a toilet, sink, and a shower",0,train
00028,train-00000-of-00023.parquet,28,c84bf138bc760895a985a69945e06ce97f14ea6d790d397baf01798d0db908b5,ADE_train_00000029,512,683,"0,85,512,597","A bathroom with a white bathtub, a shower, a toilet, and a sink",0,train
00029,train-00000-of-00023.parquet,29,239a827056af00d721da2b61ef1bab59eb8bb2de0dbf57a834e3168ca78dfcc3,ADE_train_00000030,512,683,"0,85,512,597","A bathroom with a white sink, a shower, and a toilet",0,train
00030,train-00000-of-00023.parquet,30,e755b67fc4f88b53a9dfb9bca3522ce2d82c1c97170162db630f8f16a0f8cf73,ADE_train_00000031,512,589,"0,38,512,550","A modern bathroom with a walk-in shower, a sink, and a toilet",0,train
00031,train-00000-of-00023.parquet,31,2a19f73c4cd4a8a32906b5b95f65cd579a8c128dbfdbc044143891ac7229a169,ADE_train_00000032,512,717,"0,102,512,614",A bathroom with a large window that looks out onto the ocean,0,train
