sample_id,subject,class,live,ref_image,ref_sha256,ref_width,ref_height,n_subject_images,prompt_idx,prompt_template,prompt
00000,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,0,a {0} {1} in the jungle,a backpack in the jungle
00001,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,1,a {0} {1} in the snow,a backpack in the snow
00002,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,2,a {0} {1} on the beach,a backpack on the beach
00003,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,3,a {0} {1} on a cobblestone street,a backpack on a cobblestone street
00004,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,4,a {0} {1} on top of pink fabric,a backpack on top of pink fabric
00005,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,5,a {0} {1} on top of a wooden floor,a backpack on top of a wooden floor
00006,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,6,a {0} {1} with a city in the background,a backpack with a city in the background
00007,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,7,a {0} {1} with a mountain in the background,a backpack with a mountain in the background
00008,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,8,a {0} {1} with a blue house in the background,a backpack with a blue house in the background
00009,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,9,a {0} {1} on top of a purple rug in a forest,a backpack on top of a purple rug in a forest
