sample_id,source_file,source_row,sha256,source_format,width,height,caption,dup_group,dev200_idx,subset500
00000,validation-00000-of-00005.parquet,0,cca54604cd11b71028a48c3430a02c565acf5a729e4c23c08c8c5c799bbcc584,PNG,512,512,diver at the great white wall in fiji,,,0
00001,validation-00000-of-00005.parquet,1,594a5235fcf8108f27097c81a479b0e8e5492478d3108a5c12e0fb5cf0824b01,PNG,512,512,1920x1200 Dark wolf wallpaper,,,0
00002,validation-00000-of-00005.parquet,2,24062e8ce3b5f6288b3a15574bd16198a4036ccc1b88562b63e21ec88a6d6b7f,PNG,512,512,Log Cabin In The Mountains At Winter Wallpaper Winter Wallpaper Winter House Tree Log Wallpaper,,,0
00003,validation-00000-of-00005.parquet,3,c93df3029dc0f3efe452f1b460d4fd4a334b14c34a3a918f9f5fc596bb6bf7b6,PNG,512,512,Serious Dog Portraits,,,0
00004,validation-00000-of-00005.parquet,4,324ea472098ebc3359e028ba97fcd684127522cf36dfa8b7d21ef3553c14fb6e,PNG,512,512,"A boy on his mountain bike in Granby Colorado during the Troublesome Fire on October 21, 2020.",,,0
00005,validation-00000-of-00005.parquet,5,b44f275fe5c8e2b22e08b008f9cb828e04e5c42c35c86a73b22e97d4c062c94f,PNG,512,512,Photo Disturbia by Jeff Bark for Dazed & Confused November 2013,,,0
00006,validation-00000-of-00005.parquet,6,7b09f286d333da02734eb26e1929d1db179dbb163203a8c35bee242fa34f265c,PNG,512,512,Picture Of Looking Through A View Finder,,,0
00007,validation-00000-of-00005.parquet,7,e34e155f48adaeb7a7c5c9d027b4d2c7f0bcaab327564761d5167055feed634c,PNG,512,512,Destination_Signature_Banff_Springs_Hotel_Winter_Fairmont_15_Horizontal.jpg,,,0
00008,validation-00000-of-00005.parquet,8,76cc299441816bbe6b85b91f3a38dc5e1b18a35586d845a82dc8b4a52d5dcc01,PNG,512,512,Language trip to Laon,,,0
00009,validation-00000-of-00005.parquet,9,1a1fac291416c9419f27fdf619817e2c6ad50aee41a50ddb2ae32be09b9c3be3,PNG,512,512,Summer Flowers on the grounds of the Lake Louise Resort,,,0
00010,validation-00000-of-00005.parquet,10,f951f6343843fb767b4931f2f36ffaeec7edbd599248c76bddab7e52f3a457db,PNG,512,512,Beauty: Vivien Leigh plays Emma in the 1941 film That Hamilton Woman,,,0
00011,validation-00000-of-00005.parquet,11,11ac6984fd73fdf15291a3ae9b473bd574b3716e25a3aced6a72dcde6a73e9d5,PNG,512,512,Novak Djokovic celebrates his 28th birthday at the French Open.,,,0
00012,validation-00000-of-00005.parquet,12,81a3277e62059980bc99db568c83e1bb0d5131ce798634d26b5475a8a37a1545,PNG,512,512,"Above view of Petit Champlain in Quebec City, Canada",,,0
00013,validation-00000-of-00005.parquet,13,c2acd5ac8c20ff0cf0e8fa20103bbdc7cb53e4e7237e5cb56401a3a0b78c1eb5,PNG,512,512,Sage green is the new neutral southern living - What color is sage green ...,,0,0
00014,validation-00000-of-00005.parquet,14,f05207e6710f24140f97b6a0861261b5882bd01ec40faf2d6354c81ba8807fb7,PNG,512,512,Land Rover Mountain Goat print advertisement,,,0
00015,validation-00000-of-00005.parquet,15,c6f6f836099dcd7a0fc77af993c3bd401f10b72dc151482d871bddd4fa1dd16b,PNG,512,512,Death Stranding: Exploring Photo Mode With Photographer Pete Rowbottom,,,0
00016,validation-00000-of-00005.parquet,16,aaa3201f852d573a591c36453e9045188756b939e3ebf05776e2ad3a12057d8e,PNG,512,512,"Keller Fountain, Portland, Oregon, USA",,,0
00017,validation-00000-of-00005.parquet,17,c8bc3423eee7f8a24a0fa8134cebffa1f5e2577b4d2a77d4e5b3c75d0e767c75,PNG,512,512,"""""""""""""""Two Birds of a Feather"""""""" original fine art by Laurie Johnson Lepkowska""""""",,,0
00018,validation-00000-of-00005.parquet,18,ccf251f929c31dea8a62f681ed0562afc50b34585fa63abce145791d63ffbf47,PNG,512,512,Bedrooms 4 Kids Six Cheetah Cubs Spotted At The Safari Park Zoonooz,,,0
00019,validation-00000-of-00005.parquet,19,bc654891c04bf7b2a5b28306169f9b693d277e0d4eb6185a25908b4a17672860,PNG,512,512,Naomie Harris at the 74th Annual Golden Globe Awards in Beverly Hills-3,,,0
00020,validation-00000-of-00005.parquet,20,7e506fc52901e11b7cbc437a49f777a8c6976544291ff85892e0f39e85f3becc,PNG,512,512,short Hollywood waves on blonde hair is a non typical addition to an ultra modern bridal look,,,0
00021,validation-00000-of-00005.parquet,21,b0cf40c7189920945ea0678dc87a0b24517e9240ffdf12450f056e7003e0bc6c,PNG,512,512,*Rika makes a quick stop at the piers across the city before heading back to the mansion. She also h,,,0
00022,validation-00000-of-00005.parquet,22,d08e86ae47fb68dd942f3596ff35ee9493d71e22184ced1fd4a776eedc7b34e6,PNG,512,512,"Near Slumgullion Pass, Colorado ©2017 James D Peterson.  We went through this area in mid-September, when the fall foliage was just beginning to appear.  This view is above Lake City as Highway 149 ascends towards its highest point, 11,530 feet (3,514 m) above sea level.  The views of the San Juan Mountains are spectacular along thsi route.",,,1
00023,validation-00000-of-00005.parquet,23,3852dba3430d489263b845cdb29b1b7636a4f5f11b05a9665df2625d269b8c73,PNG,512,512,grey living room ideas,,,0
00024,validation-00000-of-00005.parquet,24,a838ff845ca1d78d55ba8b7a0fac1eb14f86791d42eb9a4f8032370f706c7d0d,PNG,512,512,"China's Li Na holds the Roland Garros French Open tennis championship trophy in front of the Eiffel Tower on June 4, 2011 in Paris a few hours after winning the French Open Women's final. Li Na made sporting history at the French Open today when she became the first player from China and from Asia to win a Grand Slam singles title. (Alexander Klein/AFP/Getty Images)",,,0
00025,validation-00000-of-00005.parquet,25,90e058eaa855e0fd585e215208cbe18c1eddb459bd4daf4b7375308dbf6326dc,PNG,512,512,Normandy Cottage Stone Wall,,1,0
00026,validation-00000-of-00005.parquet,26,0ae8535a36d72fc9207c678c9321243da95ce5af24403c3bb2b54954d10cff62,PNG,512,512,Jane Lynch at the SAG Awards,,,0
00027,validation-00000-of-00005.parquet,27,c52e076035c7162ce00a552f457278b52c7ba4577a253fa669751b90753b153e,PNG,512,512,"Confessions: Iggy made the revelation in the latest issue of American Vogue (the shoot pictured above, featuring Iggy wearing an embellished jumpsuit by Sonia Rykiel, and a Dior cocktail ring)",,,1
00028,validation-00000-of-00005.parquet,28,a03db215180a5bd4a2fa0880b5b486d646caeaa828bfbe8e558e348e38133021,PNG,512,512,Wooden Wall Designs 30 Striking Bedrooms That Use The Wood Finish Artfully,,,0
00029,validation-00000-of-00005.parquet,29,142f99ab684b1568f56b7899e9d8f098fb0c28d3e2bf5902d9d5eefe353dcc86,PNG,512,512,Asuka by NikitaCosplay,,,0
00030,validation-00000-of-00005.parquet,30,e861370b1ddca1ef3192e101bf980618e0d92e01fb2a4b2f59c81684c5d93053,PNG,512,512,Irish Painting - Ireland Mutton Isle Clare by Lesley Giles,,,0
00031,validation-00000-of-00005.parquet,31,69552a4e36b5f66f7448de22853327964343426f67f2a32f3dc9ddb83557f5f4,PNG,512,512,Cheese and Nuts.Oil on Linen.27x46cm. Private Collection,,,0
00032,validation-00000-of-00005.parquet,32,ef5e8f75f00a4e6f6f78b28b1867faac1ecfdd88fcb19ad19fa1b5410c745ff5,PNG,512,512,GYULA TORNAI / Smoker with Hookah and Marabout,,,0
00033,validation-00000-of-00005.parquet,33,d1d019c557faa989130d27c01d70f0442311c1e6ca9708f1c09b2d35303bd1fc,PNG,512,512,Red Oak and Pastures 11x14,,,0
00034,validation-00000-of-00005.parquet,34,7fe79f32e1f576e164415021f815dc60fa7a6041b22d0776237ca70f71fb477a,PNG,512,512,The Witcher 3 art Yennefer,,,0
00035,validation-00000-of-00005.parquet,35,2fbde3b48ae2aa9db5dd8288965aab30d46036a09c72acfeb5e2c7ae1dc22389,PNG,512,512,The cruise ship Corinthian II in front of a huge Iceberg in Antarctic Sound. Antarctic Sound is at the northern tip of the Antarctic Peninsular and connects the Southern Ocean to the Wedell Sea. Even in the summer months it is often filled with huge tabular icebergs,,,0
00036,validation-00000-of-00005.parquet,36,8bd62e0ca87651e7feea355a3bc9862b8d92e932945d252624723ef7a171c040,PNG,512,512,Photograph Abraham Lake in The Summer by Kevin McNeal on 500px,,,0
00037,validation-00000-of-00005.parquet,37,50fa7cf4b03a46fea202ecfd5dde5fe98058994a57b1fbb7ccceb892b8ca3208,PNG,512,512,Sailboats in the sea by Olha Darchuk,,,0
00038,validation-00000-of-00005.parquet,38,d63fc0adc7026dd9ebffa3dd01d9371deb1f5e5578a975ea50d028addeb53ed3,PNG,512,512,"""SLEEPY HOLLOW: """"Whispers in the Dark""""""",,,0
00039,validation-00000-of-00005.parquet,39,472bc33e45f06f266e9556a2503926964bd9e93182264ae17988678ee542f848,PNG,512,512,"viewes, River, west, trees, winter, Fog, sun",,,0
00040,validation-00000-of-00005.parquet,40,67df2f5da142b39c1c1dcc644a032e9e4160e27aff05fb5c07be1a85e26f3d03,PNG,512,512,curio.trips.russia.moscow.white.metro.station.landscape.jpg,,2,0
